0,0,46,1368
0,1,46,1361
1,0,46,1362
1,1,46,1363
2,0,46,1364
2,1,46,1365
0,0,47,1378
0,1,47,1371
1,0,47,1372
1,1,47,1373
2,0,47,1374
2,1,47,1375
1,0,48,1482
1,1,48,1483
2,0,48,1484
2,1,48,1485
3,0,48,1486
3,1,48,1487
1,0,49,1412
1,1,49,1413
2,0,49,1414
2,1,49,1415
3,0,49,1416
3,1,49,1417
0,0,50,1428
0,1,50,1421
2,0,50,1424
2,1,50,1425
3,0,50,1426
3,1,50,1427
0,0,51,1438
0,1,51,1431
2,0,51,1434
2,1,51,1435
3,0,51,1436
3,1,51,1437
0,0,52,1468
0,1,52,1461
1,0,52,1462
1,1,52,1463
2,0,52,1464
2,1,52,1465
0,0,53,1478
0,1,53,1471
1,0,53,1472
1,1,53,1473
2,0,53,1474
2,1,53,1475
1,0,54,1582
1,1,54,1583
2,0,54,1584
2,1,54,1585
3,0,54,1586
3,1,54,1587
1,0,55,1512
1,1,55,1513
2,0,55,1514
2,1,55,1515
3,0,55,1516
3,1,55,1517
0,0,56,1528
0,1,56,1521
2,0,56,1524
2,1,56,1525
3,0,56,1526
3,1,56,1527
0,0,57,1538
0,1,57,1531
2,0,57,1534
2,1,57,1535
3,0,57,1536
3,1,57,1537
0,0,58,1568
0,1,58,1561
1,0,58,1562
1,1,58,1563
2,0,58,1564
2,1,58,1565
0,0,59,1578
0,1,59,1571
1,0,59,1572
1,1,59,1573
2,0,59,1574
2,1,59,1575
1,0,60,1682
1,1,60,1683
2,0,60,1684
2,1,60,1685
3,0,60,1686
3,1,60,1687
1,0,61,1612
1,1,61,1613
2,0,61,1614
2,1,61,1615
3,0,61,1616
3,1,61,1617
0,0,62,1628
0,1,62,1621
2,0,62,1624
2,1,62,1625
3,0,62,1626
3,1,62,1627
0,0,63,1638
0,1,63,1631
2,0,63,1634
2,1,63,1635
3,0,63,1636
3,1,63,1637
0,0,64,1648
0,1,64,1641
1,0,64,1642
1,1,64,1643
3,0,64,1646
3,1,64,1647
0,0,65,1658
0,1,65,1651
1,0,65,1652
1,1,65,1653
3,0,65,1656
3,1,65,1657
1,0,66,1782
1,1,66,1783
2,0,66,1784
2,1,66,1785
3,0,66,1786
3,1,66,1787
1,0,67,1712
1,1,67,1713
2,0,67,1714
2,1,67,1715
3,0,67,1716
3,1,67,1717
0,0,68,1728
0,1,68,1721
2,0,68,1724
2,1,68,1725
3,0,68,1726
3,1,68,1727
0,0,69,1738
0,1,69,1731
2,0,69,1734
2,1,69,1735
3,0,69,1736
3,1,69,1737
0,0,70,1748
0,1,70,1741
1,0,70,1742
1,1,70,1743
3,0,70,1746
3,1,70,1747
